,accTrain,accTest,time
0,0.008971291866028708,0.008771929824561403,32.3396577835083
1,0.01594896331738437,0.011961722488038277,62.07686185836792
2,0.020534290271132377,0.02073365231259968,91.46250438690186
3,0.026913875598086126,0.03189792663476874,120.50758814811707
4,0.03588516746411483,0.02711323763955343,149.63918566703796
5,0.038875598086124404,0.03269537480063796,178.7407786846161
6,0.05263157894736842,0.050239234449760764,207.91488361358643
7,0.06319776714513557,0.06140350877192982,236.93246221542358
8,0.07695374800637958,0.05741626794258373,266.0000491142273
9,0.11044657097288677,0.07575757575757576,295.0981414318085
10,0.11443381180223286,0.08373205741626795,324.2457423210144
11,0.14055023923444976,0.11164274322169059,353.32283067703247
12,0.1513157894736842,0.1076555023923445,382.53244256973267
13,0.16686602870813397,0.14035087719298245,411.5735249519348
14,0.17364433811802232,0.13476874003189793,440.7076232433319
15,0.21192185007974482,0.1547049441786284,469.8372211456299
16,0.23125996810207336,0.1682615629984051,498.9128096103668
17,0.24003189792663476,0.17862838915470494,527.9964001178741
18,0.2647527910685805,0.19776714513556617,557.0744879245758
19,0.291866028708134,0.19059011164274323,586.2630965709686
20,0.3241626794258373,0.21690590111642744,615.3241817951202
21,0.32077352472089316,0.23046251993620415,644.3912687301636
22,0.3155901116427432,0.22089314194577353,673.4648566246033
23,0.3488835725677831,0.21770334928229665,702.6139581203461
24,0.37021531100478466,0.23843700159489634,731.7040493488312
25,0.4136762360446571,0.24960127591706538,760.8226451873779
26,0.4136762360446571,0.24322169059011164,789.914235830307
27,0.44557416267942584,0.2783094098883573,819.0693383216858
28,0.4449760765550239,0.2719298245614035,848.0689129829407
29,0.5201355661881978,0.27352472089314195,877.1635048389435
30,0.5263157894736842,0.284688995215311,906.2370929718018
31,0.5289074960127592,0.2894736842105263,935.5442216396332
32,0.532695374800638,0.2862838915470494,964.7843384742737
33,0.5586124401913876,0.28708133971291866,993.908435344696
34,0.5950956937799043,0.3141945773524721,1023.11354637146
35,0.5994816586921851,0.29984051036682613,1052.1071207523346
36,0.6572966507177034,0.3038277511961722,1081.249220609665
37,0.6285885167464115,0.30063795853269537,1110.3868193626404
38,0.618421052631579,0.29106858054226475,1139.5154175758362
39,0.6730462519936204,0.3022328548644338,1168.9505689144135
40,0.6730462519936204,0.3022328548644338,1198.7012763023376
41,0.6782296650717703,0.3133971291866029,1228.4719848632812
42,0.6690590111642744,0.3118022328548644,1258.0366587638855
43,0.7266746411483254,0.3141945773524721,1287.1852598190308
44,0.7187001594896332,0.30063795853269537,1316.3488636016846
45,0.7633572567783095,0.3309409888357257,1345.4174506664276
46,0.7631578947368421,0.3189792663476874,1374.5060412883759
47,0.7844896331738437,0.31738437001594894,1403.59663271904
48,0.8016347687400319,0.3269537480063796,1432.6257121562958
49,0.777511961722488,0.29904306220095694,1461.7768139839172
50,0.7998405103668261,0.3149920255183413,1491.0919439792633
51,0.8002392344497608,0.3022328548644338,1520.2195415496826
52,0.8161881977671451,0.31658692185007975,1549.3176338672638
53,0.8265550239234449,0.30861244019138756,1578.482237815857
54,0.8066188197767146,0.31658692185007975,1607.9318919181824
55,0.82396331738437,0.3118022328548644,1637.562076807022
56,0.7926634768740032,0.28708133971291866,1667.3192846775055
57,0.7916666666666666,0.2838915470494418,1697.0709910392761
58,0.8425039872408293,0.30701754385964913,1726.6401658058167
59,0.8367224880382775,0.29984051036682613,1755.7567615509033
